mom,value_data,value_sd,weight,value_model,value_model_var
pr_u2e,0.170733613346873,0.0003284591017172,5.857077469381134,0.16196380022317958,1.7904134115886969e-06
pr_j2j,0.0263359800721551,4.83440810841201e-05,37.970867127792786,0.026276549949038396,2.702028190579757e-06
pr_e2u,0.022021950317981,4.40096045198754e-05,45.40923876226786,0.019474177895930013,2.265889017588996e-08
cov_dydw,0.0010088535822089,0.00012744284365,1000.0,0.0009477057789368772,6.189383183372081e-08
var_dy,0.101988857745985,0.0062019574173308,9.804992644300569,0.09134418682104915,2.1408355305329133e-05
cov_dydy_l4,-0.0350084188704271,0.0025470802192558,9.804992644300569,-0.03479122203830959,1.021892500711783e-05
var_dw,0.0245182025643741,0.0001309530999011,40.78602407229634,0.024115263000937626,2.6973297978243035e-07
cov_dwdw_l4,-0.0067552372853816,6.91990725966769e-05,40.78602407229634,-0.008356914534581043,1.578097560918689e-08
mean_dw,0.0254347161150804,8.77028418701858e-05,39.31634210012251,0.02749992161043901,2.2200162388906155e-06
mean_dw_j2j_2,0.0641895190513872,0.0006029684117937,15.578867310089137,0.061588286209663015,3.22828854543398e-05
w_u2e_ee_gap,0.553190658092063,0.0042660543409932,1.8076950240789824,0.49296264393063594,0.0002450164432218637
var_w,0.142726389546875,0.0003261551108429,7.006412781650127,0.15391771585058037,7.44697712907249e-06
cov_dydsep,-0.0129533554160582,0.0040287670397832,77.20007425723112,-0.014143400601792564,1.0028365053542299e-05
var_w_longac,0.091646330998893,0.0003328858781196,10.91151155862507,0.08900413225670986,0.00013907533729864334
